datasetid,doi,status_code,doi_in_crossref
3297,10.2307/1551050  ,,
3298,10.2307/1551050  ,,
3299,10.2307/1551050  ,,
3300,10.2307/1551050  ,,
3301,10.2307/1551050  ,,
3302,10.2307/1551050  ,,
3303,10.2307/1551050  ,,
3304,10.2307/1551050  ,,
3305,10.2307/1551050  ,,
3306,10.2307/1551050  ,,
3307,10.2307/1551050  ,,
3308,10.2307/1551050  ,,
3309,10.2307/1551050  ,,
3310,10.2307/1551050  ,,
3311,10.2307/1551050  ,,
3312,10.2307/1551050  ,,
3313,10.2307/1551050  ,,
3314,10.2307/1551050  ,,
3315,10.2307/1551050  ,,
3316,10.2307/1551050  ,,
3317,10.2307/1551050  ,,
3318,10.2307/1551050  ,,
3319,10.2307/1551050  ,,
3320,10.2307/1551050  ,,
3321,10.2307/1551050  ,,
3322,10.2307/1551050  ,,
3323,10.2307/1551050  ,,
3324,10.2307/1551050  ,,
3325,10.2307/1551050  ,,
3326,10.2307/1551050  ,,
3327,10.2307/1551050  ,,
3328,10.2307/1551050  ,,
3329,10.2307/1551050  ,,
3330,10.2307/1551050  ,,
3331,10.2307/1551050  ,,
3332,10.2307/1551050  ,,
3333,10.2307/1551050  ,,
3334,10.2307/1551050  ,,
3335,10.2307/1551050  ,,
3336,10.2307/1551050  ,,
3337,10.2307/1551050  ,,
3338,10.2307/1551050  ,,
3339,10.2307/1551050  ,,
3340,10.2307/1551050  ,,
3341,10.2307/1551050  ,,
3342,10.2307/1551050  ,,
3343,10.2307/1551050  ,,
3344,10.2307/1551050  ,,
3345,10.2307/1551050  ,,
3346,10.2307/1551050  ,,
3347,10.2307/1551050  ,,
3348,10.2307/1551050  ,,
3349,10.2307/1551050  ,,
3350,10.2307/1551050  ,,
3351,10.2307/1551050  ,,
3352,10.2307/1551050  ,,
3353,10.2307/1551050  ,,
3354,10.2307/1551050  ,,
3355,10.2307/1551050  ,,
3356,10.2307/1551050  ,,
3357,10.2307/1551050  ,,
3358,10.2307/1551050  ,,
3359,10.2307/1551050  ,,
3360,10.2307/1551050  ,,
3361,10.2307/1551050  ,,
3362,10.2307/1551050  ,,
3363,10.2307/1551050  ,,
3364,10.2307/1551050  ,,
3365,10.2307/1551050  ,,
3366,10.2307/1551050  ,,
3367,10.2307/1551050  ,,
3368,10.2307/1551050  ,,
3369,10.2307/1551050  ,,
3370,10.2307/1551050  ,,
3371,10.2307/1551050  ,,
3372,10.2307/1551050  ,,
3373,10.2307/1551050  ,,
3374,10.2307/1551050  ,,
3375,10.2307/1551050  ,,
3376,10.2307/1551050  ,,
3377,10.2307/1551050  ,,
3378,10.2307/1551050  ,,
3379,10.2307/1551050  ,,
3380,10.2307/1551050  ,,
3381,10.2307/1551050  ,,
3382,10.2307/1551050  ,,
3383,10.2307/1551050  ,,
3384,10.2307/1551050  ,,
3385,10.2307/1551050  ,,
3386,10.2307/1551050  ,,
3387,10.2307/1551050  ,,
3388,10.2307/1551050  ,,
3389,10.2307/1551050  ,,
3390,10.2307/1551050  ,,
3391,10.2307/1551050  ,,
3392,10.2307/1551050  ,,
3393,10.2307/1551050  ,,
3394,10.2307/1551050  ,,
3395,10.2307/1551050  ,,
3396,10.2307/1551050  ,,
3397,10.2307/1551050  ,,
3398,10.2307/1551050  ,,
3399,10.2307/1551050  ,,
3400,10.2307/1551050  ,,
3401,10.2307/1551050  ,,
3402,10.2307/1551050  ,,
3403,10.2307/1551050  ,,
3404,10.2307/1551050  ,,
3405,10.2307/1551050  ,,
3406,10.2307/1551050  ,,
3407,10.2307/1551050  ,,
3408,10.2307/1551050  ,,
3409,10.2307/1551050  ,,
3410,10.2307/1551050  ,,
3411,10.2307/1551050  ,,
3412,10.2307/1551050  ,,
3413,10.2307/1551050  ,,
3414,10.2307/1551050  ,,
3415,10.2307/1551050  ,,
3416,10.2307/1551050  ,,
3417,10.2307/1551050  ,,
3418,10.2307/1551050  ,,
3419,10.2307/1551050  ,,
3420,10.2307/1551050  ,,
3421,10.2307/1551050  ,,
3422,10.2307/1551050  ,,
3423,10.2307/1551050  ,,
3424,10.2307/1551050  ,,
3425,10.2307/1551050  ,,
3426,10.2307/1551050  ,,
3427,10.2307/1551050  ,,
3428,10.2307/1551050  ,,
3429,10.2307/1551050  ,,
3430,10.2307/1551050  ,,
3431,10.2307/1551050  ,,
3432,10.2307/1551050  ,,
3433,10.2307/1551050  ,,
3434,10.2307/1551050  ,,
3435,10.2307/1551050  ,,
3436,10.2307/1551050  ,,
3437,10.2307/1551050  ,,
3438,10.2307/1551050  ,,
3439,10.2307/1551050  ,,
3440,10.2307/1551050  ,,
3441,10.2307/1551050  ,,
3442,10.2307/1551050  ,,
3443,10.2307/1551050  ,,
3444,10.2307/1551050  ,,
3445,10.2307/1551050  ,,
3446,10.2307/1551050  ,,
3447,10.2307/1551050  ,,
3448,10.2307/1551050  ,,
3449,10.2307/1551050  ,,
3450,10.2307/1551050  ,,
3451,10.2307/1551050  ,,
4169,10.1111/j.1502-3885.1997.tb00656.x,,
9035,10.1111/j.1502-3885.1997.tb00656.x,,
24756,10.1111/j.1502-3885.1997.tb00656.x,,
24757,10.1111/j.1502-3885.1997.tb00656.x,,
36350,10.23867/RI0048D,,
36351,10.23867/RI0048D,,
37490,10.23867/RI0048D,,
37491,10.23867/RI0048D,,
39429,10.23867/RI0048D,,
39430,10.23867/RI0048D,,
40937,10.23867/RI0048D,,
40938,10.23867/RI0048D,,
41022,10.23867/RI0048D,,
41023,10.23867/RI0048D,,
15297,10.2307/1550718,,
15298,10.2307/1550718,,
15401,10.1038/22728,,
15402,10.1038/22728,,
15403,10.1038/22728,,
19378,10.1139/f01-071,,
19379,10.1139/f01-071,,
19380,10.1139/f01-071,,
19381,10.1139/f01-071,,
19383,10.1139/f01-071,,
